ALBERTON,5014,GREEN
ALBERTON,7263,WHITE
ALBERTON WEST,3971,WHITE
ALBION,3020,ORANGE
ALBION,4010,
ALBION,4822,GREY
ALBION BC,4010,
ALBION DC,4010,
ALBION HEIGHTS,7050,GREEN
ALBION PARK,2527,ORANGE
ALBION PARK RAIL,2527,ORANGE
ALBURY,2640,ORANGE
ALBURY MSC,2708,ORANGE
ALCOMIE,7330,WHITE
ALDAVILLA,2440,GREEN
ALDERLEY,4051,
ALDERSHOT,4650,RED
ALDERSYDE,6306,GREY
ALDGATE,5154,WHITE
ALDINGA,5173,GREEN
ALDINGA BEACH,5173,GREEN
ALDOGA,4694,GREY
ALECTOWN,2870,WHITE
ALEXANDER HEIGHTS,6064,WHITE
ALEXANDRA,3714,WHITE
ALEXANDRA,4740,RED
ALEXANDRA BRIDGE,6288,GREY
ALEXANDRA HEADLAND,4572,
ALEXANDRA HILLS,4161,
ALEXANDRIA,2015,RED
ALEXANDRIA,4825,GREY
ALEXANDRIA MC,2004,RED
ALFORD,5555,WHITE
ALFORDS POINT,2234,RED
ALFRED COVE,6154,WHITE
ALFREDTON,3350,ORANGE
ALFREDTOWN,2650,WHITE
ALGESTER,4115,
ALI CURUNG,872,GREY
ALICE,2469,WHITE
ALICE CREEK,4610,WHITE
ALICE RIVER,4817,ORANGE
ALICE SPRINGS,870,GREY
ALICE SPRINGS,872,GREY
ALISON,2259,RED
ALISON,2420,WHITE
ALKIMOS,6038,WHITE
ALLAMBEE,3823,WHITE
ALLAMBEE RESERVE,3871,WHITE
ALLAMBEE SOUTH,3871,WHITE
ALLAMBIE HEIGHTS,2100,RED
ALLAN,4370,WHITE
ALLANDALE,2320,RED
ALLANDALE,4310,WHITE
ALLANOOKA,6525,GREY
ALLANS FLAT,3691,WHITE
ALLANSFORD,3277,WHITE
ALLANSON,6225,WHITE
ALLAWAH,2218,RED
ALLEENA,2671,WHITE
ALLENBY GARDENS,5009,GREEN
ALLENDALE,3364,WHITE
ALLENDALE EAST,5291,WHITE
ALLENDALE NORTH,5373,WHITE
ALLENS RIVULET,7150,WHITE
ALLENSTOWN,4700,RED
ALLENVIEW,4285,WHITE
ALLESTREE,3305,WHITE
ALLGOMERA,2441,WHITE
ALLIGATOR CREEK,4740,RED
ALLIGATOR CREEK,4816,ORANGE
ALLINGHAM,4850,GREY
ALLORA,4362,
ALLOWAY,4670,RED
ALLWORTH,2425,WHITE
ALLYNBROOK,2311,WHITE
ALMA,3465,WHITE
ALMA,5401,WHITE
ALMA,6535,GREY
ALMA PARK,2659,WHITE
ALMADEN,4871,GREY
ALMONDS,3727,WHITE
ALMURTA,3979,WHITE
ALONNAH,7150,WHITE
ALOOMBA,4871,ORANGE
ALPHA,4724,WHITE
ALPHINGTON,3078,ORANGE
ALPINE,2575,ORANGE
ALPURRURULAM,4825,GREY
ALSACE,4702,GREY
ALSTONVALE,2477,RED
ALSTONVILLE,2477,RED
ALTON DOWNS,4702,GREY
ALTONA,3018,ORANGE
ALTONA,5351,GREEN
ALTONA EAST,3025,ORANGE
ALTONA GATE,3025,ORANGE
ALTONA MEADOWS,3028,ORANGE
ALTONA NORTH,3025,ORANGE
ALUMY CREEK,2460,WHITE
ALVA,4807,WHITE
ALVIE,3249,
ALYANGULA,885,GREY
AMAMOOR,4570,WHITE
AMAMOOR CREEK,4570,WHITE
AMAROO,2866,WHITE
AMAROO,2914,ORANGE
AMAROO,4829,GREY
AMATA,872,GREY
AMBANIA,6632,GREY
AMBARVALE,2560,RED
AMBER,4871,GREY
AMBERGATE,6280,WHITE
AMBERLEY,4306,
AMBLESIDE,7310,GREEN
AMBROSE,4695,GREY
AMBY,4462,WHITE
AMELUP,6338,GREY
AMERICAN BEACH,5222,GREY
AMERICAN RIVER,5221,GREY
AMHERST,3371,WHITE
AMIENS,4352,WHITE
AMIENS,4380,
AMITY,4183,WHITE
AMITY POINT,4183,WHITE
AMOONGUNA,872,GREY
AMOR,3825,WHITE
AMPHITHEATRE,3468,WHITE
AMPILATWATJA,872,GREY
AMYTON,5431,WHITE
ANABRANCH NORTH,2648,WHITE
ANABRANCH SOUTH,2648,WHITE
ANAKIE,3213,WHITE
ANAKIE,4702,WHITE
ANAMA,5464,WHITE
ANAMBAH,2320,RED
ANATYE,872,GREY
ANCONA,3715,WHITE
ANDAMOOKA,5722,GREY
ANDERGROVE,4740,RED
ANDERLEIGH,4570,WHITE
ANDERSON,3995,WHITE
ANDO,2631,WHITE
ANDOVER,7120,WHITE
ANDREWS,5454,WHITE
ANDREWS FARM,5114,GREEN
ANDROMACHE,4800,RED
ANDURAMBA,4355,WHITE
ANEMBO,2621,WHITE
ANGAS PLAINS,5255,WHITE
ANGAS VALLEY,5238,WHITE
ANGASTON,5353,GREEN
ANGELO RIVER,6642,GREY
ANGIP,3393,WHITE
ANGLE PARK,5010,GREEN
ANGLE VALE,5117,GREEN
ANGLEDALE,2550,WHITE
ANGLEDOOL,2832,WHITE
ANGLEDOOL,2834,WHITE
ANGLERS REACH,2629,WHITE
ANGLERS REST,3898,WHITE
ANGLESEA,3230,ORANGE
ANGOURIE,2464,RED
ANGURUGU,822,GREY
ANINDILYAKWA,822,GREY
ANKETELL,6167,WHITE
ANMATJERE,872,GREY
ANNA BAY,2316,RED
ANNADALE,5356,WHITE
ANNANDALE,2038,RED
ANNANDALE,4814,ORANGE
ANNANGROVE,2156,RED
ANNERLEY,4103,
ANNERLEY DC,4103,
ANNIE RIVER,822,GREY
ANNIEBROOK,6280,WHITE
ANNUELLO,3549,WHITE
ANSONS BAY,7216,WHITE
ANSONS BAY,7264,WHITE
ANSTEAD,4070,
ANTECHAMBER BAY,5222,GREY
ANTEWENEGERRDE,872,GREY
ANTHONY,4310,WHITE
ANTIGUA,4650,WHITE
ANTILL PONDS,7120,WHITE
ANTONYMYRE,6714,GREY
ANTWERP,3414,WHITE
ANULA,812,GREY
APAMURRA,5237,WHITE
APOINGA,5413,WHITE
APOLLO BAY,3233,ORANGE
APOLLO BAY,7150,WHITE
APPILA,5480,WHITE
APPIN,2560,WHITE
APPIN,3579,WHITE
APPIN PARK,3677,WHITE
APPIN SOUTH,3579,WHITE
APPLE TREE CREEK,4660,RED
APPLE TREE FLAT,2850,ORANGE
APPLEBY,2340,WHITE
APPLECROSS,6153,WHITE
APPLECROSS,6953,WHITE
APPLECROSS NORTH,6153,WHITE
APPLETHORPE,4378,
APPLETREE FLAT,2330,GREY
APSLAWN,7190,WHITE
APSLEY,2820,WHITE
APSLEY,3319,WHITE
APSLEY,7030,WHITE
ARABLE,2630,WHITE
ARAKOON,2431,GREEN
ARALUEN,870,GREY
ARALUEN,2622,WHITE
ARALUEN,4570,WHITE
ARALUEN NORTH,2622,WHITE
ARAMAC,4726,WHITE
ARAMARA,4620,WHITE
ARANA HILLS,4054,
ARANBANGA,4625,WHITE
ARANDA,2614,ORANGE
ARAPILES,3409,WHITE
ARARAT,3377,WHITE
ARATULA,2714,WHITE
ARATULA,4309,ORANGE
ARAWATA,3951,ORANGE
ARBOUIN,4871,GREY
ARBUCKLE,3858,WHITE
ARCADIA,2159,RED
ARCADIA,3631,
ARCADIA,4819,WHITE
ARCADIA SOUTH,3631,
ARCADIA VALE,2283,RED
ARCHDALE,3475,WHITE
ARCHDALE JUNCTION,3475,WHITE
ARCHER,830,GREY
ARCHER RIVER,4871,GREY
ARCHERFIELD,4108,
ARCHERFIELD BC,4108,
ARCHERTON,3723,WHITE
ARCHIES CREEK,3995,WHITE
ARDATH,6419,GREY
ARDEER,3022,ORANGE
ARDGLEN,2338,WHITE
ARDING,2358,WHITE
ARDLETHAN,2665,WHITE
ARDMONA,3629,ORANGE
ARDROSS,6153,WHITE
ARDROSSAN,5571,WHITE
AREEGRA,3480,WHITE
AREYONGA,872,GREY
ARGALONG,2720,WHITE
ARGENTON,2284,RED
ARGENTS HILL,2449,WHITE
ARGOON,2707,WHITE
ARGOON,4702,WHITE
ARGYLE,2350,WHITE
ARGYLE,3523,ORANGE
ARGYLE,6239,WHITE
ARGYLL,4721,WHITE
ARIAH PARK,2665,WHITE
ARKAROOLA VILLAGE,5710,WHITE
ARKELL,2795,WHITE
ARKSTONE,2795,WHITE
ARMADALE,3143,ORANGE
ARMADALE,6112,WHITE
ARMADALE,6992,WHITE
ARMADALE NORTH,3143,ORANGE
ARMAGH,5453,WHITE
ARMATREE,2831,WHITE
ARMIDALE,2350,RED
ARMSTRONG,3377,WHITE
ARMSTRONG BEACH,4737,RED
ARMSTRONG CREEK,3217,ORANGE
ARMSTRONG CREEK,4520,WHITE
ARNCLIFFE,2205,RED
ARNDELL PARK,2148,RED
ARNO BAY,5603,WHITE
ARNOLD,852,
ARNOLD,3551,WHITE
ARNOLD WEST,3551,WHITE
AROONA,4551,
ARRAWARRA,2456,RED
ARRAWARRA HEADLAND,2456,RED
ARRIGA,4880,GREY
ARRINO,6519,GREY
ARROWSMITH,6525,GREY
ARROWSMITH EAST,6519,GREY
ARTARMON,2064,RED
ARTHUR RIVER,6315,GREY
ARTHUR RIVER,7330,WHITE
